id,text,label,predicted
31,���I ain���t drunk.��� ���Then you���re mad; that���s worse'.,1,0
49,Mm. That tastes like balls.,0,1
51,Do you fell better now  ready to put the pacifier back in your mouth?,1,0
57,He does that for the little fat boy who orders these movies off of Netflix.  That way he knows who is boss!  Make my day jman! lol!,0,1
61,"Wow. What a hateful person you seem to be. I thought ""young"" people didn't like labeling people. Someday your so called status symbols will be ""tired"".",1,0
63,The Trump base: deluded and delusional.,1,0
81,gu- a kid will show it off to a friend and they'll start handling it and pretty soon somebody gets shot,1,0
95,Only in Hawaii nei  do you suck at your job and get a promotion.,0,1
140,"""...stop buying so much garbage."" I agree with you there. But what I buy is not garbage when I buy it. It becomes garbage when I no longer need it. Maybe don't buy so much stuff?",0,1
206,"Your hatred of ""browns"" is well documented  racist one.",1,0
244,Somebody is making money off this mess.  What are the odds that someone  with knowledge that the deal was crap  shorted the stock?  Short 100 000 shares and the price drops $5 a share  and you are ahead a cool half million dollars.,1,0
254,"Meyer: ""Look at this  will ya!  600 million dollars of reports from the oil companies!  Look - the reports fill this whole freakin' office!  Dang  that's a lot of paper!  This is great!  We can spend millions and millions studying these reports to create more reports!  And reports keep me pulling in my $550 salary.  I love ya Bill Walker!  Yee haw!""  Alaska is doomed.",1,0
260,You sir   have dementia.,1,0
268,He's a sorry combination of Harper and Trump.  A shady little punk.,0,1
305,place your hands on your cheeks and lift gently to remove your head,1,0
336,POP THIS BAD BOY IN.,1,0
355,Lazy people put any kine stuffs down da drain; supposed to put it in the trash.,0,1
357,Indeed. Challenging the result of the legitimate democratic process of an election just because the result didn't go the way one expected it to go is beyond disgusting.,0,1
379,"Look  the horses is even like  ""I'm getting the [bleep] out of here  man!"" [ Laughter ] That's a damn dragon!",0,1
380,"the anthem  and standing for it  is hardly the show of pride that it used to be...i mean  listen to the words...out dated and all about war like things  important to the military  few others...the flag is merely a symbol  a symbol that doesn't really work for everyone  and hasn't really worked for a large many people for a long long time...not everyone agrees with military intervention on foreign soil  as THE solution to whatever the problem...but the US administrations does...and the US is used to taking what it wants  or at the very least  getting what it wants by coming to others  ahem ""aid""...just can the anthem at sporting events  a move LONG LONG overdue...don;t play it...we don;t need to play that song at every  single  sporting event of all time...I;m there to watch the game  not to spy on anthem sitters  lol...it's a really dumb...then you can take the politics out of the game  by just getting to the game...I haven't stood for the US anthem for over 25 years  and never will...",0,1
392,Lying  back-stabbing  corruption  dirty tricks. Just another day at the office.,0,1
400,You're misinformed and parroting a pathetic meme about schools 'failing so many children'. They are not all that poor performing; conservatives just like to spout that for the emotional satisfaction it gives them rather than any credence it has. Which it does not.,1,0
405,We disagree on the need for and the effects of the Kinder Morgan pipeline expansion  but on her assessment of Trudeau the author is bang on.  Bullseye!  The man is a fakir  a charlatan  a hoaxer  a tin-man  a purveyor of platitudes  a prevaricating promise breaker.  Not only not ready  but not capable of ever being ready.  Trudeau is a dim bulb convinced he's shining brightly as he gropes his way through the darkness of his limited understanding.    Pathetic.  Jr!  No one believes you anymore!  Are you listening?  Stop talking  we don't believe you!,0,1
439,I'll pay $500 for someone to go out there and destroy it.,1,0
440,All the Marine Corps did was to teach you to kill and after you got out of the Marines you might be good gangsters  end quote.,1,0
442,I don't know; we'll just have to suck it and see,0,1
452,Trudeau is just like Kathleen Wynne  he lies every time he bumps his gums  disgraceful really.,0,1
