id,text,label
0,Except that Desmond played first base last night. Tapia was in LF  and Reynolds had a night off.,0
1,What i find funny is the loyalty and blindness of english community. The worst possible choice for them is liberal and yet they keep voting for them every time. They keep renewing hope every election 1 year prior to it  just to ignore them at the winning speach already. Honestly PQ have more respect for english community then liberal  at least they dont lie to you just to get your vote. That being said i dont vote PQ either tired of those old man but that is another story. I mostly vote local candidate regardless of party even voted liberal once.. Outch that was hard to admit. But seriously guy's drop the act anti PQ anti QS dont vote for CAQ cause they dont win etc.. Any of those will at least respect you when they say no. And most of time they will say yes and ACT on it not just saying it like liberals do.,0
2,Read the article  not just the headline & you will find out.,0
3,Speaking of a horses backside  is that where your head is at?,1
4,Michael Barone- gee are you dumb.  No other words needed.,1
5,too bad ignorant left wing sheep like you in the usa are suckered every day by the reality of LOSING!!!! it will be better business than the usa has seen in decades loser,1
6,This is just another attempt to shut down speech the Democrats don't agree with.  The effect it would have would be either to silence everyone in America or to tie up the courts for eternity in stupid pursuits.,1
7,Ugly American.....Trump's ugly presence and mean spiritedness has breathed new life into this term. so many otherwise rational  well balanced and good hearted Americans are embarrassed  too.,1
8,Yep. Go be cannon fodder due to being born poor. You are a piece of real sad humanity.,0
9,What we need to do is do away with provinces entirely.  They're just an anachronistic holdover from the 19th century when it took weeks for people  goods and communications to get from one to the other.,0
10,The leftists are all about racism. Look at the greatest leftists in history  like hitler  stalin and lenen.  The leftists are usually the biggest mass murders in history too!  Yea the left is anti-racist!,1
11,boots>  You are a miserable   crybaby   punkass prick.  Who do you think you can call a phony conservative.  You are such a phony  acting almighty poor loser jerk!  Why don't you stuff your head  up your butt  you might find some sense up there!  And furthermore  who gives a rip about Russia?  The only people concerned with the Russians are you liberal ass kissing dodos.  Maybe you might want to throw in the "heil Hitler"  bit also???  You people are so PHONY and psychotic.  Frickin' idiot.  Good night and good riddance    Burn in your own HELL!!!!  YSA!!!!,1
12,Chafee was one of the few Republicans to support strict gun control laws.,0
13,Give it a rest  Pat.  Liberal whores like you think you can tell the Catholic Church to pimp for your social justice garbage while ignoring the civil rights of a Church that is 97% white and middle class.,1
14,Hey Paulie  I'll go along with your idea to let the people vote on an income tax  if at the same time we get to vote on ending the $700 million a year tax credits for you pals in the oil industry?  Deal?,0
15,And I still haven't given up completely on CarGo.  He really is a special player when he's right.,0
16,one big group of crooks,1
17,He's primarily political.    What he chooses to do and not do is based on political calculus.  He salts his agenda and photo ops with just the right mix of talk about "openness" and "the evils of rigidity" with head nods to Our Lady  St Joseph  the Rosary  and even the Latin Mass  just not this week.  And even satan now and then.   Keeping things in balanced.  I bet there's a spreadsheet updated daily.,0
18,This season may become known for "The Curse of Tony Kornheiser".  I don't think Anderson's hamstring is as bad as the Rockies are making it out to be.  I think they have issues with his pitch selection  location and attitude.  Unfortunately  now that the Rox bullpen has fully taken on water  the whole ship is starting to sink.  I hope they get a win or two in San Francisco  because the Rockies are definitely NOT winning the division now.,0
19,Safety is the #1 reason self-driving cars will become the norm.,0
